book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,379,716,На складе,47
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1358,2563,Ограничено,47
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1358,2563,На складе,47
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3246,4162,На складе,22
Функциональное программирование. Учебник,Гордиенко Александр Петрович,Кнорус:Магистратура,938,1769,Ограничено,47
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1367,2580,На складе,47
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1367,2580,На складе,47
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,1778,3354,На складе,47
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,1778,3354,На складе,47
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1367,2580,На складе,47
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1504,2837,На складе,47
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1025,1934,На складе,47
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1374,2592,На складе,47
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,1022,1310,На складе,22
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,596,1125,На складе,47
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,671,1266,На складе,47
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,957,1806,На складе,47
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",2286,4313,На складе,47
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1400,1795,На складе,22
OpenCV и Java. Обработка изображений и компьютерное зрение,Прохоренок Николай Анатольевич,BHV:Профессиональное программирование,494,932,Ограничено,47
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2714,3480,На складе,22
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1778,3354,На складе,47
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,760,1041,На складе,27
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1230,2321,На складе,47
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2051,3869,На складе,47
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1167,1599,На складе,27
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1025,1934,На складе,47
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3481,6567,Ограничено,47
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,6869,12960,На складе,47
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,187,352,На складе,47
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1094,2064,На складе,47
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,2734,5159,На складе,47
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,1929,3640,На складе,47
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,1832,3456,На складе,47
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1094,2064,На складе,47
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,957,1806,На складе,47
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,683,1289,На складе,47
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2271,2912,На складе,22
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,751,1417,На складе,47
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1367,2580,Ограничено,47
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1371,2587,На складе,47
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1162,2192,На складе,47
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1094,2064,На складе,47
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,1640,3095,На складе,47
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1213,2288,Ограничено,47
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2749,5186,На складе,47
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3837,7240,На складе,47
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,820,1547,На складе,47
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,849,1601,На складе,47
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,1886,2418,На складе,22
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1094,2064,На складе,47
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,5851,11040,Ограничено,47
Создаем нейронную сеть,Рашид Тарик,Вильямс,2981,5625,На складе,47
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1230,2321,На складе,47
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,957,1806,На складе,47
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,4122,7778,Ограничено,47
Основы Java,Прохоренок Николай Анатольевич,BHV,842,1589,Ограничено,47
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,1037,1421,На складе,27
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,531,1001,На складе,47
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,5851,11040,Ограничено,47
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1717,3240,На складе,47
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2749,5186,Ограничено,47
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,3776,7125,На складе,47
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1558,2134,На складе,27
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,957,1806,На складе,47
Математическое программирование. Учебное пособие,Карманов Владимир Георгиевич,Физматлит,415,783,Ограничено,47
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1296,1661,На складе,22
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1162,2192,На складе,47
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2291,4322,На складе,47
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1299,2450,На складе,47
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,2038,2613,Ограничено,22
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,856,1615,Ограничено,47
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс:Элективный курс. Профильное обучение,218,411,На складе,47
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,594,1120,На складе,47
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,738,1392,На складе,47
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1010,1384,На складе,27
Silverlight. Практическое руководство,Браун Пит,Питер,1281,1642,На складе,22
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1135,1555,На складе,27
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,1558,2134,На складе,27
10 практических устройств на AVR-микроконтроллерах. Книга 3 (+DVD),Кравченко Алексей Владимирович,Корона-Принт,553,1044,Ограничено,47
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,222,419,На складе,47
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)","Бояркин В.Э., Филатов А. И.",1С:1С: Предприятие 8,216,407,На складе,47
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,216,407,На складе,47
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,259,489,На складе,47
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век: ,549,1035,Ограничено,47
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,477,900,Ограничено,47
Основы алгоритмизации и программирования на Visual C++,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2531,4776,На складе,47
Среда динамического моделирования технических систем SimInTech,Карташов Борис Александрович и др.,ДМК-Пресс,957,1806,На складе,47
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2981,5625,На складе,47
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2107,3976,Ограничено,47
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,2461,4644,На складе,47
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,887,1674,На складе,47
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином:Основы информационных технологий,344,574,Ограничено,40
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1037,1421,На складе,27
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2165,2966,На складе,27
Предметно - ориентированное проектирование. Самое основное,Вернон Вон,Вильямс,2107,3976,Ограничено,47
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,957,1806,На складе,47
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,483,911,На складе,47
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс:Библиотека профессионала,753,1421,Ограничено,47
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,1778,3354,На складе,47
Проектирование пользовательского интерфейса Android,Клифтон Ян,ДМК-Пресс,1367,2580,На складе,47
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1124,1540,На складе,27
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,7314,13800,Ограничено,47
