book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер:Для профессионалов,3143,4029,На складе,22
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1367,2580,На складе,47
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1367,2580,На складе,47
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,1778,3354,На складе,47
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,814,1535,На складе,47
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2107,3976,На складе,47
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,2981,5625,На складе,47
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,2749,5186,На складе,47
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,2051,3869,На складе,47
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1367,2580,На складе,47
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер:Бестселлеры O`Reilly,2086,2674,На складе,22
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1367,2580,На складе,47
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,1640,3095,На складе,47
Программирование на Python. Базовый курс,Седжвик Роберт и др.,Вильямс,2286,4313,На складе,47
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,1367,2580,На складе,47
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер:Библиотека программиста,943,1209,На складе,22
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1,Фриск Валерий Владимирович и др.,Солон-пресс:Библиотека студента,821,1549,На складе,47
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,2599,4903,На складе,47
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань:Учебники для вузов. Специальная литература,376,710,На складе,47
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1504,2837,На складе,47
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,2666,3418,На складе,22
Head First. Изучаем Go,Макгаврен Джей,Питер:Head First (O'Reilly),2831,3629,На складе,22
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,1346,1725,На складе,22
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1448,2733,Ограничено,47
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,474,895,На складе,47
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,1896,3577,На складе,47
Введение в глубокое обучение,Черняк Евгений,Вильямс,1100,2075,Ограничено,47
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1025,1934,На складе,47
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,443,836,На складе,47
10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD),Кравченко Алексей Владимирович,Корона-Принт,345,650,На складе,47
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,1640,3095,На складе,47
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2079,2666,Ограничено,22
"Программирование микроконтроллеров для начинающих. Визуальное проектирование, язык С, ассемблер(+CD)",Иванов Всеволод Борисович,Корона-Принт,444,837,Ограничено,47
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2051,3869,На складе,47
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,483,911,На складе,47
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,887,1674,На складе,47
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,962,1816,На складе,47
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,887,1674,На складе,47
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,820,1547,На складе,47
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox,Типикин А. А.,Солон-пресс,328,619,На складе,47
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,957,1806,На складе,47
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,3481,6567,Ограничено,47
Swift. Карманный справочник. Программирование в среде iOS и ОS X,Грей Энтони,Вильямс,553,1044,Ограничено,47
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,615,1161,На складе,47
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1094,2064,На складе,47
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,887,1674,На складе,47
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,957,1806,Ограничено,47
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,820,1547,На складе,47
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,957,1806,На складе,47
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1230,2321,На складе,47
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1094,2064,На складе,47
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,1828,3449,На складе,47
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,549,1035,На складе,47
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,887,1674,На складе,47
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,1094,2064,На складе,47
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1367,2580,На складе,47
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,683,1289,На складе,47
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1367,2580,На складе,47
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,553,1044,На складе,47
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1367,2580,На складе,47
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,683,1289,Ограничено,47
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,212,400,На складе,47
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,707,1334,Ограничено,47
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1374,2592,На складе,47
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1649,3112,На складе,47
Java EE 7. Основы,Гупта Арун,Вильямс,825,1556,На складе,47
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1374,2592,На складе,47
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3030,5717,Ограничено,47
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1374,2592,На складе,47
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,809,1526,Ограничено,47
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,285,538,На складе,47
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,463,873,Ограничено,47
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2107,3976,Ограничено,47
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,820,1547,На складе,47
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,200,378,На складе,47
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,489,922,Ограничено,47
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1197,2259,На складе,47
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1137,2145,Ограничено,47
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1263,2383,Ограничено,47
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,751,1417,На складе,47
Программирование в Delphi. Учебник по классическим версиям Delphi (+CD),Архангельский Алексей Яковлевич,Бином: ,776,1465,Ограничено,47
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,957,1806,На складе,47
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,615,1161,На складе,47
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,415,783,На складе,47
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,673,922,На складе,27
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,235,444,На складе,47
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1340,2528,На складе,47
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,820,1547,На складе,47
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1730,2218,На складе,22
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,2225,2853,На складе,22
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,2973,3812,На складе,22
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1949,2499,На складе,22
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2657,3406,На складе,22
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,3069,3934,На складе,22
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,844,1592,Ограничено,47
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2587,4882,На складе,47
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,1554,2933,На складе,47
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV:С нуля,646,1218,Ограничено,47
Изучаем C++ через программирование игр,Доусон Майкл,Питер,999,1281,На складе,22
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер:Для профессионалов,2028,2600,На складе,22
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,2325,4386,На складе,47
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1367,2580,На складе,47
Секреты Python Pro,Хиллард Дейн,Питер:Для профессионалов,2185,2801,На складе,22
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1161,1590,На складе,27
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,833,1572,На складе,47
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1367,2580,На складе,47
Проектирование информационных систем. Основы управления проектами. СПО,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань:Компьютеры и программное обеспечение,453,854,Ограничено,47
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,838,1582,Ограничено,47
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,894,1686,На складе,47
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1101,2077,На складе,47
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,1711,3228,На складе,47
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1062,2003,На складе,47
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,1554,2933,Ограничено,47
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань:Компьютеры и программное обеспечение,2345,4425,Ограничено,47
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1810,2321,На складе,22
Система модулей Java,Парлог Николай,Питер:Для профессионалов,2342,3003,На складе,22
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,1185,2235,На складе,47
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,5001,6411,На складе,22
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1243,1594,На складе,22
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1870,2398,На складе,22
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1094,2064,На складе,47
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1299,2450,На складе,47
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,833,1572,Ограничено,47
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,779,1470,На складе,47
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,369,697,На складе,47
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,506,955,На складе,47
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2051,3869,На складе,47
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,2621,4945,На складе,47
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,2037,2612,На складе,22
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,3001,5663,На складе,47
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,949,1791,Ограничено,47
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1231,2322,Ограничено,47
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,1800,3396,На складе,47
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1230,2321,На складе,47
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,1580,2981,На складе,47
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,1607,3033,Ограничено,47
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,1219,1563,На складе,22
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,1630,3076,На складе,47
Создание сайтов на основе WordPress. Учебное пособие. СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,641,1210,Ограничено,47
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2051,3869,На складе,47
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1230,2321,На складе,47
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,2157,4069,На складе,47
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2092,3947,На складе,47
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,3129,4011,На складе,22
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,1814,3422,На складе,47
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1557,1996,На складе,22
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,2734,5159,На складе,47
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3246,4162,На складе,22
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,820,1547,На складе,47
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,683,1289,На складе,47
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2187,4127,На складе,47
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,2072,2657,На складе,22
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,316,405,На складе,22
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2051,3869,На складе,47
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,1436,2710,На складе,47
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,920,1180,На складе,22
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1415,1814,На складе,22
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1286,1649,На складе,22
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,4883,6260,На складе,22
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1758,3317,Ограничено,47
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1676,3162,На складе,47
Программирование.Сборник задач.СПО,"Батасова Валентина Сергеевна, Гречкина Полина Викторовна",Лань:Компьютеры и программное обеспечение,1035,1953,Ограничено,47
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,726,1370,Ограничено,47
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1367,2580,На складе,47
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,691,1304,На складе,47
Вычисления в кольцах некоммутативных многочленов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,2223,4194,Ограничено,47
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1343,2534,Ограничено,47
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5495,10368,Ограничено,47
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер:Для профессионалов,1416,1816,На складе,22
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,2129,2730,На складе,22
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1087,2051,Ограничено,47
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,1778,3354,На складе,47
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1094,2064,На складе,47
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2558,3279,На складе,22
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2561,3283,На складе,22
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань:Математика,1740,3283,Ограничено,47
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,2221,4191,На складе,47
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1423,1824,На складе,22
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,7314,13800,Ограничено,47
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,2107,3976,На складе,47
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2187,4127,На складе,47
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1304,2460,На складе,47
C#. Основы программирования (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1360,2566,Ограничено,47
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1671,3152,На складе,47
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань:Компьютеры и программное обеспечение,1186,2237,На складе,47
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1321,2492,На складе,47
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1244,2348,Ограничено,47
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,792,1494,На складе,47
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,684,1290,На складе,47
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,2325,4386,На складе,47
Программируй & типизируй,Ришкуция Влад,Питер:Библиотека программиста,2051,2630,На складе,22
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1234,1691,На складе,27
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,415,783,На складе,47
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1005,1896,Ограничено,47
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1035,1953,На складе,47
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,2285,2930,На складе,22
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3168,4062,На складе,22
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,1361,2567,На складе,47
Java. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,931,1193,На складе,22
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,931,1193,На складе,22
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,2986,3828,На складе,22
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,3113,5873,На складе,47
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер:Бестселлеры O`Reilly,2044,2621,На складе,22
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,1370,2585,На складе,47
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,2971,3809,На складе,22
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер:Бестселлеры O`Reilly,1886,2418,На складе,22
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1572,2016,На складе,22
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,751,1417,На складе,47
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1094,2064,На складе,47
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,751,1417,На складе,47
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1731,2371,На складе,27
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1061,2002,Ограничено,47
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,717,1353,На складе,47
Visual FoxPro 9.0. Учебный курс,,Корона-Принт,438,827,На складе,47
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1778,3354,На складе,47
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,887,1674,На складе,47
Java EE 7 и сервер приложений GlassFish 4,Хеффельфингер Дэвид,ДМК-Пресс,832,1570,Ограничено,47
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,615,1161,На складе,47
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,820,1547,На складе,47
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1230,2321,На складе,47
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,597,1126,Ограничено,47
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,820,1547,На складе,47
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2377,3047,На складе,22
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,1367,2580,На складе,47
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1368,2582,Ограничено,47
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,887,1674,На складе,47
